Doc.fact.,ClFac,OrgVt,CDis,Fechacompra,Año,zona de ventas ,IDCliente,cantidadComprada,UMB,SKU,Descripción de SKU,NombreCliente,Grupo de vendedores,Grupo de materiales 1,Grupo de materiales 3,Grupo de materiales 4
87139933,G2,1000,10,5/14/2025,2025,205,100386,1.800,M2,203061,ITRIA BEIGE 60X60 PRIMERA,CERAMICOLOR SAS,GTE. CESAR ARAMENDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87139934,G2,1000,10,5/14/2025,2025,209,100599,10.350,M2,231068,SINAI 58.4X118.4 PRIMERA DUAL RECT,DKOLORES SAS,GTE. MARIA FERNANDEZ,Ceramica,NATURALES,REVESTIMIENTO
87139941,G2,1000,10,5/14/2025,2025,209,121361,3.600,M2,202226,EXTERIOR MEDELLIN 60X60 PRIMERA,EDWIN YESID SOSA BUITRAGO,GTE. MARIA FERNANDEZ,Ceramica,EXTERIORES,REVESTIMIENTO
87139946,ZBRE,1000,10,5/14/2025,2025,209,117,137.940,M2,231033,MADERA TAUARI INT 19.3X118.4 PRIMERA REC,DECORADOS Y ACABADOS CERAMICOS/BOSA,GTE. MARIA FERNANDEZ,Ceramica,MADERAS,REVESTIMIENTO
,,,,,,,,,,,,,,,,
87139974,G2,1000,10,5/19/2025,2025,205,101197,14.490,M2,260022,MORANDI GRIS 58.4X118.4 GB,MULTICENTRO COMERCIALIZADORA DE,GTE. CESAR ARAMENDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87139974,G2,1000,10,5/19/2025,2025,205,101197,1.380,M2,263038,PICASSO 58.4 X118.4 GB RECT,MULTICENTRO COMERCIALIZADORA DE,GTE. CESAR ARAMENDEZ,Ceranatto,MARMOLIZADOS,REVESTIMIENTO
87139975,G2,1000,10,5/19/2025,2025,205,101197,3.000,M2,202295,D-ORNATO PALACE 25X75 PRIMERA,MULTICENTRO COMERCIALIZADORA DE,GTE. CESAR ARAMENDEZ,Ceramica,HIDRAULICOS,REVESTIMIENTO
87139976,G2,1000,10,5/19/2025,2025,209,100593,1.800,M2,202226,EXTERIOR MEDELLIN 60X60 PRIMERA,EUROPUNTO J.J. SAS,GTE. MARIA FERNANDEZ,Ceramica,EXTERIORES,REVESTIMIENTO
87139977,G2,1000,10,5/19/2025,2025,209,100599,2.070,M2,260019,VALTELINA 58.4X118.4 GB,DKOLORES SAS,GTE. MARIA FERNANDEZ,Ceramica,OXIDOS,REVESTIMIENTO
87139978,G2,1000,10,5/19/2025,2025,209,100553,8.100,M2,203033,CERITALIA CA 30X60,IMPACTO CERAMICO JP S.A.S,GTE. MARIA FERNANDEZ,Ceramica,DIAMANTES,REVESTIMIENTO
87139978,G2,1000,10,5/19/2025,2025,209,100553,1.620,M2,203041,MARMOL OSLO 30X60 PRIMERA,IMPACTO CERAMICO JP S.A.S,GTE. MARIA FERNANDEZ,Ceramica,MARMOL,REVESTIMIENTO
87139978,G2,1000,10,5/19/2025,2025,209,100553,1.800,M2,203062,ITRIA GRIS 60X60 PRIMERA,IMPACTO CERAMICO JP S.A.S,GTE. MARIA FERNANDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87139978,G2,1000,10,5/19/2025,2025,209,100553,1.800,M2,203061,ITRIA BEIGE 60X60 PRIMERA,IMPACTO CERAMICO JP S.A.S,GTE. MARIA FERNANDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87139979,G2,1000,10,5/19/2025,2025,209,102392,4.860,M2,243085,D-CHIARA 45X90.1 GB,GEOVANNY ANDRES MOLINA CAMARGO,GTE. MARIA FERNANDEZ,Ceranatto,DIAMANTES,REVESTIMIENTO
87139979,G2,1000,10,5/19/2025,2025,209,102392,4.860,M2,243083,D-ALINA GREY 45X90.1 GB,GEOVANNY ANDRES MOLINA CAMARGO,GTE. MARIA FERNANDEZ,Ceranatto,DIAMANTES,REVESTIMIENTO
87139979,G2,1000,10,5/19/2025,2025,209,102392,1.620,M2,203033,CERITALIA CA 30X60,GEOVANNY ANDRES MOLINA CAMARGO,GTE. MARIA FERNANDEZ,Ceramica,DIAMANTES,REVESTIMIENTO
87139980,G2,1000,10,5/19/2025,2025,209,117,1.800,M2,203062,ITRIA GRIS 60X60 PRIMERA,DECORADOS Y ACABADOS CERAMICOS/BOSA,GTE. MARIA FERNANDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87139980,G2,1000,10,5/19/2025,2025,209,117,2.070,M2,231040,CALCITA 58.4X118.4 PRIMERA RECT,DECORADOS Y ACABADOS CERAMICOS/BOSA,GTE. MARIA FERNANDEZ,Ceranatto,MARMOLIZADOS,REVESTIMIENTO
87139980,G2,1000,10,5/19/2025,2025,209,117,2.070,M2,231043,CARRARA REAL 58.4 X118.4 PRIMERA RECT,DECORADOS Y ACABADOS CERAMICOS/BOSA,GTE. MARIA FERNANDEZ,Ceranatto,MARMOLIZADOS,REVESTIMIENTO
87139981,G2,1000,10,5/19/2025,2025,209,102160,1.620,M2,243050,MARMOL ALBA 30X60  GB,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,MARMOLIZADOS,REVESTIMIENTO
87139981,G2,1000,10,5/19/2025,2025,209,102160,1.620,M2,243051,MARMOL OSLO 30X60  GB,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,MARMOLIZADOS,REVESTIMIENTO
87139981,G2,1000,10,5/19/2025,2025,209,102160,3.240,M2,243138,ITRIA CENIZO 30X60 GB,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87139981,G2,1000,10,5/19/2025,2025,209,102160,1.800,M2,243066,ACONNA GRIS 60X60 GB,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,NATURALES,REVESTIMIENTO
87139981,G2,1000,10,5/19/2025,2025,209,102160,3.240,M2,241286,MACERATA MARFIL 30X60 GB,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,MADERAS,REVESTIMIENTO
87139984,G2,1000,10,5/19/2025,2025,209,101240,1.800,M2,202226,EXTERIOR MEDELLIN 60X60 PRIMERA,DECORADOS Y ACABADOS CERAMICOS S.A.,GTE. MARIA FERNANDEZ,Ceramica,EXTERIORES,REVESTIMIENTO
87139984,G2,1000,10,5/19/2025,2025,209,101240,1.800,M2,203062,ITRIA GRIS 60X60 PRIMERA,DECORADOS Y ACABADOS CERAMICOS S.A.,GTE. MARIA FERNANDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87139984,G2,1000,10,5/19/2025,2025,209,101240,4.140,M2,231078,MARGHERA 58.4X118.4 CYR PRIMERA,DECORADOS Y ACABADOS CERAMICOS S.A.,GTE. MARIA FERNANDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87139985,G2,1000,10,5/19/2025,2025,209,102165,2.070,M2,231028,TELLUS GRIS 58.4X118.4 CYR PRIMERA,CHAPARRO PEREZ LENYS STELLA,GTE. MARIA FERNANDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87139994,G2,1000,10,5/19/2025,2025,209,100599,1.140,M2,230064,TURCHI 19.3X118.4 PRIMERA RECT,DKOLORES SAS,GTE. MARIA FERNANDEZ,Ceramica,MADERAS,REVESTIMIENTO
87139994,G2,1000,10,5/19/2025,2025,209,100599,2.070,M2,231027,TELLUS BEIGE 58.4X118.4 CYR PRIMERA,DKOLORES SAS,GTE. MARIA FERNANDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87139994,G2,1000,10,5/19/2025,2025,209,100599,2.070,M2,230015,ADIGIO 58.4X118.4 PRIMERA,DKOLORES SAS,GTE. MARIA FERNANDEZ,Ceramica,NATURALES,REVESTIMIENTO
