IDCliente,NombreCliente,Material,SKU,Descripcion,Grupo_Material_1,Grupo_Material_3,Grupo_Material_4,Grupo_Vendedores,zona_ventas,Mes_prediccion,Trimestre,Año,cantidad_sugerida,metodo,es_descontinuado,tiene_sustitutos,sustitutos,datos_usados,segmento_cliente,frecuencia_cliente,ultima_compra,registros_historicos,registros_directos,promedio_historico,factor_estacional,MAD,MAPE,ACC
117,DECORADOS Y ACABADOS CERAMICOS/BOSA,231042,231042,JASPE 58.4X118.4 PRIMERA RECT,Ceranatto,MARMOLIZADOS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,10,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Alto,Media,2025-07-03,5,1,124.614,1.153,1406.8293,20081.11,-199.8111
117,DECORADOS Y ACABADOS CERAMICOS/BOSA,231042,231042,JASPE 58.4X118.4 PRIMERA RECT,Ceranatto,MARMOLIZADOS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,11,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Alto,Media,2025-07-03,5,1,124.614,1.153,1406.8293,20081.11,-199.8111
117,DECORADOS Y ACABADOS CERAMICOS/BOSA,231042,231042,JASPE 58.4X118.4 PRIMERA RECT,Ceranatto,MARMOLIZADOS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,12,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Alto,Media,2025-07-03,5,1,124.614,1.153,1406.8293,20081.11,-199.8111
117,DECORADOS Y ACABADOS CERAMICOS/BOSA,231043,231043,CARRARA REAL 58.4 X118.4 PRIMERA RECT,Ceranatto,MARMOLIZADOS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,10,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Alto,Media,2025-07-03,5,1,124.614,1.153,1406.8293,20081.11,-199.8111
117,DECORADOS Y ACABADOS CERAMICOS/BOSA,231043,231043,CARRARA REAL 58.4 X118.4 PRIMERA RECT,Ceranatto,MARMOLIZADOS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,11,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Alto,Media,2025-07-03,5,1,124.614,1.153,1406.8293,20081.11,-199.8111
117,DECORADOS Y ACABADOS CERAMICOS/BOSA,231043,231043,CARRARA REAL 58.4 X118.4 PRIMERA RECT,Ceranatto,MARMOLIZADOS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,12,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Alto,Media,2025-07-03,5,1,124.614,1.153,1406.8293,20081.11,-199.8111
117,DECORADOS Y ACABADOS CERAMICOS/BOSA,231044,231044,ALLEGRO 58.4 X118.4 PRIMERA RECT,Ceranatto,MARMOL,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,10,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Alto,Media,2025-07-03,5,2,124.614,1.153,1406.8293,20081.11,-199.8111
117,DECORADOS Y ACABADOS CERAMICOS/BOSA,231044,231044,ALLEGRO 58.4 X118.4 PRIMERA RECT,Ceranatto,MARMOL,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,11,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Alto,Media,2025-07-03,5,2,124.614,1.153,1406.8293,20081.11,-199.8111
117,DECORADOS Y ACABADOS CERAMICOS/BOSA,231044,231044,ALLEGRO 58.4 X118.4 PRIMERA RECT,Ceranatto,MARMOL,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,12,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Alto,Media,2025-07-03,5,2,124.614,1.153,1406.8293,20081.11,-199.8111
118,DECORADOS Y ACABADOS CERAMICOS/AV V,203062,203062,ITRIA GRIS 60X60 PRIMERA,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,10,4,2025,0.0,multiple_regression,False,False,[],directos,Medio,Media,2025-07-21,3,3,261.0,1.0,,,
118,DECORADOS Y ACABADOS CERAMICOS/AV V,203062,203062,ITRIA GRIS 60X60 PRIMERA,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,11,4,2025,0.0,multiple_regression,False,False,[],directos,Medio,Media,2025-07-21,3,3,261.0,1.15,,,
118,DECORADOS Y ACABADOS CERAMICOS/AV V,203062,203062,ITRIA GRIS 60X60 PRIMERA,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,12,4,2025,0.0,multiple_regression,False,False,[],directos,Medio,Media,2025-07-21,3,3,261.0,1.15,,,
134,MAXICASSA S.A.S / CERA BOSA,201382,201382,MACERATA AVELLANA 30X60  PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,10,4,2025,355.693,multiple_regression,False,False,[],enriquecidos,Medio,Baja,2025-06-28,5,1,224.784,1.153,265.74,123.16,-0.2316
134,MAXICASSA S.A.S / CERA BOSA,201382,201382,MACERATA AVELLANA 30X60  PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,11,4,2025,387.892,multiple_regression,False,False,[],enriquecidos,Medio,Baja,2025-06-28,5,1,224.784,1.153,265.74,123.16,-0.2316
134,MAXICASSA S.A.S / CERA BOSA,201382,201382,MACERATA AVELLANA 30X60  PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,12,4,2025,420.092,multiple_regression,False,False,[],enriquecidos,Medio,Baja,2025-06-28,5,1,224.784,1.153,265.74,123.16,-0.2316
134,MAXICASSA S.A.S / CERA BOSA,201383,201383,MACERATA WENGUE 30X60  PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,10,4,2025,355.693,multiple_regression,False,False,[],enriquecidos,Medio,Baja,2025-06-28,5,1,224.784,1.153,265.74,123.16,-0.2316
134,MAXICASSA S.A.S / CERA BOSA,201383,201383,MACERATA WENGUE 30X60  PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,11,4,2025,387.892,multiple_regression,False,False,[],enriquecidos,Medio,Baja,2025-06-28,5,1,224.784,1.153,265.74,123.16,-0.2316
134,MAXICASSA S.A.S / CERA BOSA,201383,201383,MACERATA WENGUE 30X60  PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,12,4,2025,420.092,multiple_regression,False,False,[],enriquecidos,Medio,Baja,2025-06-28,5,1,224.784,1.153,265.74,123.16,-0.2316
134,MAXICASSA S.A.S / CERA BOSA,201385,201385,MACERATA ALMENDRA 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,10,4,2025,355.693,multiple_regression,False,False,[],enriquecidos,Medio,Baja,2025-06-28,5,1,224.784,1.153,265.74,123.16,-0.2316
134,MAXICASSA S.A.S / CERA BOSA,201385,201385,MACERATA ALMENDRA 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,11,4,2025,387.892,multiple_regression,False,False,[],enriquecidos,Medio,Baja,2025-06-28,5,1,224.784,1.153,265.74,123.16,-0.2316
134,MAXICASSA S.A.S / CERA BOSA,201385,201385,MACERATA ALMENDRA 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,12,4,2025,420.092,multiple_regression,False,False,[],enriquecidos,Medio,Baja,2025-06-28,5,1,224.784,1.153,265.74,123.16,-0.2316
134,MAXICASSA S.A.S / CERA BOSA,201386,201386,MACERATA MARFIL 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,10,4,2025,355.693,multiple_regression,False,False,[],enriquecidos,Medio,Baja,2025-06-28,5,1,224.784,1.153,265.74,123.16,-0.2316
134,MAXICASSA S.A.S / CERA BOSA,201386,201386,MACERATA MARFIL 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,11,4,2025,387.892,multiple_regression,False,False,[],enriquecidos,Medio,Baja,2025-06-28,5,1,224.784,1.153,265.74,123.16,-0.2316
134,MAXICASSA S.A.S / CERA BOSA,201386,201386,MACERATA MARFIL 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,12,4,2025,420.092,multiple_regression,False,False,[],enriquecidos,Medio,Baja,2025-06-28,5,1,224.784,1.153,265.74,123.16,-0.2316
134,MAXICASSA S.A.S / CERA BOSA,231063,231063,LIBANO MIEL 19.3X118.4 PRIMERA DUAL RECT,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,10,4,2025,355.693,multiple_regression,False,False,[],enriquecidos,Medio,Baja,2025-06-28,5,1,224.784,1.153,265.74,123.16,-0.2316
134,MAXICASSA S.A.S / CERA BOSA,231063,231063,LIBANO MIEL 19.3X118.4 PRIMERA DUAL RECT,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,11,4,2025,387.892,multiple_regression,False,False,[],enriquecidos,Medio,Baja,2025-06-28,5,1,224.784,1.153,265.74,123.16,-0.2316
134,MAXICASSA S.A.S / CERA BOSA,231063,231063,LIBANO MIEL 19.3X118.4 PRIMERA DUAL RECT,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,12,4,2025,420.092,multiple_regression,False,False,[],enriquecidos,Medio,Baja,2025-06-28,5,1,224.784,1.153,265.74,123.16,-0.2316
136,MAXICASSA S.A.S / CERA SUBA,203080,203080,ITRIA BEIGE 30X60 PRIMERA,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Bajo,Baja,2025-08-04,6,1,104.56,1.04,2614.3538,6826.74,-67.2674
136,MAXICASSA S.A.S / CERA SUBA,203080,203080,ITRIA BEIGE 30X60 PRIMERA,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,11,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Bajo,Baja,2025-08-04,6,1,104.56,1.04,2614.3538,6826.74,-67.2674
136,MAXICASSA S.A.S / CERA SUBA,203080,203080,ITRIA BEIGE 30X60 PRIMERA,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,12,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Bajo,Baja,2025-08-04,6,1,104.56,1.04,2614.3538,6826.74,-67.2674
136,MAXICASSA S.A.S / CERA SUBA,203139,203139,ITRIA PLOMO 30X60 PRIMERA,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Bajo,Baja,2025-08-04,6,1,104.56,1.04,2614.3538,6826.74,-67.2674
136,MAXICASSA S.A.S / CERA SUBA,203139,203139,ITRIA PLOMO 30X60 PRIMERA,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,11,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Bajo,Baja,2025-08-04,6,1,104.56,1.04,2614.3538,6826.74,-67.2674
136,MAXICASSA S.A.S / CERA SUBA,203139,203139,ITRIA PLOMO 30X60 PRIMERA,Ceramica,CEMENTOS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,12,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Bajo,Baja,2025-08-04,6,1,104.56,1.04,2614.3538,6826.74,-67.2674
136,MAXICASSA S.A.S / CERA SUBA,230064,230064,TURCHI 19.3X118.4 PRIMERA RECT,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Bajo,Baja,2025-08-04,6,2,104.56,1.04,2614.3538,6826.74,-67.2674
136,MAXICASSA S.A.S / CERA SUBA,230064,230064,TURCHI 19.3X118.4 PRIMERA RECT,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,11,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Bajo,Baja,2025-08-04,6,2,104.56,1.04,2614.3538,6826.74,-67.2674
136,MAXICASSA S.A.S / CERA SUBA,230064,230064,TURCHI 19.3X118.4 PRIMERA RECT,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,12,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Bajo,Baja,2025-08-04,6,2,104.56,1.04,2614.3538,6826.74,-67.2674
136,MAXICASSA S.A.S / CERA SUBA,231092,231092,TURCHI DUAL 19.3X118.4 CYR PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,10,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Bajo,Baja,2025-08-04,6,2,104.56,1.04,2614.3538,6826.74,-67.2674
136,MAXICASSA S.A.S / CERA SUBA,231092,231092,TURCHI DUAL 19.3X118.4 CYR PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,11,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Bajo,Baja,2025-08-04,6,2,104.56,1.04,2614.3538,6826.74,-67.2674
136,MAXICASSA S.A.S / CERA SUBA,231092,231092,TURCHI DUAL 19.3X118.4 CYR PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. CESAR ARAMENDEZ,205.0,12,4,2025,0.0,multiple_regression,False,False,[],enriquecidos,Bajo,Baja,2025-08-04,6,2,104.56,1.04,2614.3538,6826.74,-67.2674
168,FERRETERIA CONSTRUCERAMICAS TUMACO,201385,201385,MACERATA ALMENDRA 30X60 PRIMERA,Ceramica,MADERAS,REVESTIMIENTO,GTE. MARIA FERNANDEZ,209.0,10,4,2025,138.141,multiple_regression,False,False,[],enriquecidos,Medio,Media,2025-07-23,10,1,150.48,1.153,85.5531,43.54,0.5646
